ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
16450,Monitor HP M24fw FHD,HP-MON2D9K1AA,2D9K1AA,Imagen,Monitores,HP,200.09,21.0,23.46,10,220.1,286.5,63058.65,https://elit.com.ar/producto/16450-monitor-hp-m24fw-fhd,8/1/2023 9:18:53 PM 
16452,Monitor HP X27 FHD IPS Gaming,HP-MON2V6B2AA,2V6B2AA,Imagen,Monitores,HP,328.33,21.0,23.46,10,361.16,286.5,103472.34,https://elit.com.ar/producto/16452-monitor-hp-x27-fhd-ips-gaming,8/1/2023 9:18:53 PM 
16453,"Monitor Giga 34"" Edge UltraWide QHD G34WQC 144Hz 1",GIGMONG34WQCASA,G34WQC A SA,Imagen,Monitores,GIGABYTE,789.18,21.0,23.46,10,868.1,286.5,248710.65,https://elit.com.ar/producto/16453-monitor-giga-34-edge-ultra-wide-qhd-g34wqc-144hz-1,8/1/2023 9:18:53 PM 
16470,Gabinete The Tower 500 Blanco C/ Vidrio Templado,THEGABTTW500B,CA-1X1-00M6WN-00,Hardware,Gabinetes,THERMALTAKE,253.0,10.5,0.0,10,278.3,286.5,79732.95,https://elit.com.ar/producto/16470-gabinete-the-tower-500-blanco-c-vidrio-templado,8/1/2023 9:18:53 PM 
16539,Gabinete View 300 MX Negro - ARGB C/ Vidrio Temp,THEGABV300MXNEG,CA-1P6-00M1WN-00,Hardware,Gabinetes,THERMALTAKE,323.27,10.5,0.0,10,355.6,286.5,101879.4,https://elit.com.ar/producto/16539-gabinete-view-300-mx-negro-argb-c-vidrio-temp,8/1/2023 9:18:53 PM 
16540,Gabinete View 300 MX Blanco - ARGB C/ Vidrio Temp,THEGABV300MXBLA,CA-1P6-00M6WN-00,Hardware,Gabinetes,THERMALTAKE,323.27,10.5,0.0,10,355.6,286.5,101879.4,https://elit.com.ar/producto/16540-gabinete-view-300-mx-blanco-argb-c-vidrio-temp,8/1/2023 9:18:53 PM 
16551,Motherboard (AM4) GIGABYTE X570SI AORUS PRO AX,GIGMOTX570SIAPX,X570SI AORUS PRO AX,Hardware,Motherboards,GIGABYTE,550.18,10.5,0.0,10,605.2,286.5,173389.8,https://elit.com.ar/producto/16551-motherboard-am4-gigabyte-x570si-aorus-pro-ax,8/1/2023 9:18:53 PM 
16570,Cinta de tinta S015329   FX-890 RIBBON,EPSCINS015329,S015329,Insumos,Cintas,EPSON,11.27,21.0,0.0,10,12.4,286.5,3552.6,https://elit.com.ar/producto/16570-cinta-de-tinta-s015329-fx-890-ribbon,8/1/2023 9:18:53 PM 
16575,"Monitor Giga 27"" Edge FHD M27F KVM 144Hz 1ms",GIGMON-M27FASA,M27F A-SA,Imagen,Monitores,GIGABYTE,398.07,21.0,23.46,10,437.88,286.5,125452.62,https://elit.com.ar/producto/16575-monitor-giga-27-edge-fhd-m27f-kvm-144hz-1ms,8/1/2023 9:18:53 PM 
16584,"Funda Bags Tablet 10"" Neoprene London",BAGSFUNFN10LOND,FN10TB-L,Estuches,Fundas,BAGS,9.51,21.0,0.0,10,10.46,286.5,2996.79,https://elit.com.ar/producto/16584-funda-bags-tablet-10-neoprene-london,8/1/2023 9:18:53 PM 
