Código,Descripción,Final USD,Final Esp USD,PROMO final USD,Categoría,Sub Categoría,Marca,Tipo de IVA
KF432C16BBA/16,DDR4 16 GB 3200MHZ FURY BEAST RGB KINGSTON,114.25,110.83,105.55,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KVR32N22S8/16,DDR4 16 GB 3200MHZ KINGSTON 1RX8,96.88,93.97,88.4,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
MD16GSD4320016-TB,DDR4 16 GB 3200MHZ PNY LONGDIMM RETAIL,80.15,77.74,71.83,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD16GD4320016LP,DDR4 16 GB 3200MHZ PNY XLR8 GAMING LOW PROFILE ,97.57,94.64,90.13,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD16GD4320016XR,DDR4 16 GB 3200MHZ PNY XLR8 GAMING RETAIL,97.14,94.29,89.54,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MN16GSD43200XR-RB,DDR4 16 GB 3200MHZ SODIMM GAMING PNY,93.33,90.53,89.76,HARDWARE,MEMORIAS PARA NOTEBOOK,PNY,10.5
MD32GSD43200-TB,DDR4 32 GB 3200MHZ  UDIMM PNY,159.97,155.18,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
KVR32N22D8/32,DDR4 32 GB 3200MHZ CL22 KINGSTON,199.72,193.72,179.01,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
MD4GSD42666-TB,DDR4 4 GB 2666MHZ PNY UDIMM 1.2V,22.78,22.1,21.91,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD4GSD42666BL,DDR4 4 GB 2666MHZ PNY UDIMM 1.2V,22.78,22.1,21.91,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MN4GSD42666TB,DDR4 4 GB 2666MHZ SODIMM PNY,33.84,32.82,32.54,HARDWARE,MEMORIAS PARA NOTEBOOK,PNY,10.5
KVR32N22S6/8,DDR4 8 GB 3200MHZ CL22 KINGSTON,57.16,55.45,49.73,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KF432C16BB/8,DDR4 8 GB 3200MHZ FURY BEAST BLK KINGSTON,59.31,57.53,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KF432C16BBA/8,DDR4 8 GB 3200MHZ FURY BEAST RGB KINGSTON,64.29,62.36,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
