ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
10753,Fuente Gigabyte AP850GM AORUS 80 Gold modular,GIGFUEGPAP850GM,GP-AP850GM,Hardware,Fuentes,GIGABYTE,214.01,21.0,0.0,10,235.41,365.5,86042.36,https://elit.com.ar/producto/10753-fuente-gigabyte-ap850gm-aorus-80-gold-modular,8/18/2023 3:47:36 PM 
10823,"Disco Interno SSD CRUCIAL BX500 1TB 2.5"" SATA 3.0  540MB/s",CRUSSDBX500/1TB,CT1000BX500SSD1,Almacenamiento,Discos Internos SSD,CRUCIAL,111.6,10.5,0.0,10,122.76,365.5,44868.78,https://elit.com.ar/producto/10823-disco-interno-ssd-crucial-bx500-1tb-2-5-sata-3-0-540mb-s,8/18/2023 3:47:36 PM 
11910,Camara WIFI LC1C EZVIZ NO 2MP Exterior Bullet,EZVCAMCS-LC1C,CS-LC1C-A0-1F2WPFRL,Seguridad,Camaras Wifi,EZVIZ,155.88,21.0,0.0,10,171.47,365.5,62672.29,https://elit.com.ar/producto/11910-camara-wifi-lc1c-ezviz-no-2mp-exterior-bullet,8/18/2023 3:47:36 PM 
11943,Memoria Ram UDIMM CRUCIAL Basics 8GB DDR4 2666MHz CL17 1.20V Single Verde,CRUMEMCB8GU2666,CB8GU2666,Memorias,Memorias PC,CRUCIAL,35.61,10.5,0.0,10,39.17,365.5,14316.64,https://elit.com.ar/producto/11943-memoria-ram-udimm-crucial-basics-8gb-ddr4-2666m-hz-cl17-1-20v-single-verde,8/18/2023 3:47:36 PM 
11950,Disco Interno SSD WESTERN DIGITAL SN350 480GB M.2 NVMe PCIe 3.0  2400MB/s,WDSSD480G2G0C,WDS480G2G0C,Almacenamiento,Discos Internos SSD,WD,70.89,10.5,0.0,10,77.98,365.5,28501.69,https://elit.com.ar/producto/11950-disco-interno-ssd-western-digital-sn350-480gb-m-2-nv-me-pc-ie-3-0-2400mb-s,8/18/2023 3:47:36 PM 
14496,Auricular PRIMUS Arcus90T Violeta,PRIAURPHS-90T,PHS-90T,Audio,Auriculares,PRIMUS,19.35,21.0,0.0,10,21.29,365.5,7781.5,https://elit.com.ar/producto/14496-auricular-primus-arcus90t-violeta,8/18/2023 3:47:36 PM 
14613,Procesador INTEL Core i3-10105F 3.70GHz LGA1200 DDR4,INTPRO10105F,BX8070110105F,Hardware,Procesadores,INTEL,161.11,10.5,0.0,10,177.22,365.5,64773.91,https://elit.com.ar/producto/14613-procesador-intel-core-i3-10105f-3-70g-hz-lga1200-ddr4,8/18/2023 3:47:36 PM 
14621,Mouse Inalámbrico LOGITECH GPRO X Superlight Negro,LOGMOU910-00587,910-005879,Perifericos,Mouses,LOGITECH,213.14,10.5,0.0,10,234.45,365.5,85691.48,https://elit.com.ar/producto/14621-mouse-inalambrico-logitech-gpro-x-superlight-negro,8/18/2023 3:47:36 PM 
14622,Mouse Inalámbrico LOGITECH GPRO X Superlight Blanco,LOGMOU910-00594,910-005941,Perifericos,Mouses,LOGITECH,209.58,10.5,0.0,10,230.54,365.5,84262.37,https://elit.com.ar/producto/14622-mouse-inalambrico-logitech-gpro-x-superlight-blanco,8/18/2023 3:47:36 PM 
14688,Air Cooler COOLER MASTER MasterAir MA610P ARGB,CM-COOMA610AB,MAP-T6PN-218PA-R1,Hardware,Coolers,COOLER MASTER,185.12,21.0,0.0,10,203.63,365.5,74426.77,https://elit.com.ar/producto/14688-air-cooler-cooler-master-master-air-ma610p-argb,8/18/2023 3:47:36 PM 
14703,Escritorio para computadora con tope de vidrio,XTEESCXTF-CD197,XTF-CD197,Muebles,Sillas,XTECH,140.51,21.0,0.0,10,154.56,365.5,56491.68,https://elit.com.ar/producto/14703-escritorio-para-computadora-con-tope-de-vidrio,8/18/2023 3:47:36 PM 
14731,"Monitor GIGABYTE G27FC 27""",GIGMON-G27FCASA,G27FC A-SA,Imagen,Monitores,GIGABYTE,361.69,21.0,23.46,10,397.86,365.5,145417.83,https://elit.com.ar/producto/14731-monitor-gigabyte-g27fc-27,8/18/2023 3:47:36 PM 
14793,Fuente COOLER MASTER MWE V2 850W 80 Plus Gold ATX Modular,CM-FUEGOL850,MPE-8501-AFAAG-WO,Hardware,Fuentes,COOLER MASTER,170.37,21.0,0.0,10,187.41,365.5,68498.36,https://elit.com.ar/producto/14793-fuente-cooler-master-mwe-v2-850w-80-plus-gold-atx-modular,8/18/2023 3:47:36 PM 
14820,Liquid Cooler THERMALTAKE Pacific C240 Soft Tube Kit ARGB,THECOOPC240STWC,CL-W249-CU12SW-A,Hardware,Coolers,THERMALTAKE,362.89,10.5,0.0,10,399.18,365.5,145900.29,https://elit.com.ar/producto/14820-liquid-cooler-thermaltake-pacific-c240-soft-tube-kit-argb,8/18/2023 3:47:36 PM 
14821,Liquid Cooler THERMALTAKE Pacific C360 Soft Tube Kit ARGB,THECOOPC360STWC,CL-W253-CU12SW-A,Hardware,Coolers,THERMALTAKE,401.62,10.5,0.0,10,441.78,365.5,161470.59,https://elit.com.ar/producto/14821-liquid-cooler-thermaltake-pacific-c360-soft-tube-kit-argb,8/18/2023 3:47:36 PM 
14853,Memoria Ram UDIMM KINGSTON Fury Beast 8GB DDR4 2666MHz CL16 1.20V Single Negro RGB,KFUMEM426C16B/8,KF426C16BBA/8,Memorias,Memorias PC,KINGSTON,42.68,10.5,0.0,10,46.95,365.5,17160.23,https://elit.com.ar/producto/14853-memoria-ram-udimm-kingston-fury-beast-8gb-ddr4-2666m-hz-cl16-1-20v-single-negro-rgb,8/18/2023 3:47:36 PM 
14854,Memoria Ram UDIMM KINGSTON Fury Beast 8GB DDR4 3200MHz CL16 1.35V Single Negro,KFUMEM432C16B/8,KF432C16BB/8,Memorias,Memorias PC,KINGSTON,52.13,10.5,0.0,10,57.34,365.5,20957.77,https://elit.com.ar/producto/14854-memoria-ram-udimm-kingston-fury-beast-8gb-ddr4-3200m-hz-cl16-1-35v-single-negro,8/18/2023 3:47:36 PM 
14855,Memoria Ram UDIMM KINGSTON Fury Beast 8GB DDR4 2666MHz CL16 1.20V Single Negro,KFUMEM426C16BB8,KF426C16BB/8,Memorias,Memorias PC,KINGSTON,49.76,10.5,0.0,10,54.74,365.5,20007.47,https://elit.com.ar/producto/14855-memoria-ram-udimm-kingston-fury-beast-8gb-ddr4-2666m-hz-cl16-1-20v-single-negro,8/18/2023 3:47:36 PM 
14856,Memoria Ram UDIMM KINGSTON Fury Beast 8GB DDR4 3600MHz CL17 1.35V Single Negro RGB,KFUMEM436C17BB8,KF436C17BBA/8,Memorias,Memorias PC,KINGSTON,47.7,10.5,0.0,10,52.47,365.5,19177.79,https://elit.com.ar/producto/14856-memoria-ram-udimm-kingston-fury-beast-8gb-ddr4-3600m-hz-cl17-1-35v-single-negro-rgb,8/18/2023 3:47:36 PM 
14876,Procesador AMD Ryzen 5 5600G 3.90GHz AM4 DDR4,AMDPRO5600G6COR,100-100000252BOX,Hardware,Procesadores,AMD,538.23,10.5,0.0,10,592.05,365.5,216394.28,https://elit.com.ar/producto/14876-procesador-amd-ryzen-5-5600g-3-90g-hz-am4-ddr4,8/18/2023 3:47:36 PM 
14877,Procesador AMD Ryzen 7 5700G 3.80GHz AM4 DDR4,AMDPRO5700G8COR,100-100000263BOX,Hardware,Procesadores,AMD,716.52,10.5,0.0,10,788.17,365.5,288076.14,https://elit.com.ar/producto/14877-procesador-amd-ryzen-7-5700g-3-80g-hz-am4-ddr4,8/18/2023 3:47:36 PM 
14883,Auricular XTECH Molten Negro,XTEAURXTH-520BK,XTH-520BK,Audio,Auriculares,XTECH,14.09,21.0,0.0,10,15.5,365.5,5665.25,https://elit.com.ar/producto/14883-auricular-xtech-molten-negro,8/18/2023 3:47:36 PM 
